nr_dpus,input_size,transfer_type,cpu-dpu_time,dpu-cpu_time
43,393216,SERIAL,1.6732,0.09759999999999999
43,786432,PARALLEL,1.6655000000000002,0.1265
43,786432,BROADCAST,1.6215,0.2685
43,786432,SERIAL,1.6830000000000003,0.1066
44,16384,PARALLEL,1.2898,0.09269999999999998
44,16384,BROADCAST,1.3555000000000004,0.10869999999999999
44,16384,SERIAL,1.2985000000000002,0.09949999999999999
44,393216,PARALLEL,1.5773,0.1042
44,393216,BROADCAST,1.6202999999999999,0.18060000000000004
44,393216,SERIAL,1.6663000000000001,0.1001
44,786432,PARALLEL,1.7721,0.10880000000000001
44,786432,BROADCAST,1.7801000000000002,0.3491
44,786432,SERIAL,1.6534,0.1085
45,16384,PARALLEL,1.4460000000000002,0.12040000000000002
45,16384,BROADCAST,1.3148999999999997,0.1058
45,16384,SERIAL,1.3356999999999999,0.09059999999999999
45,393216,PARALLEL,1.5188,0.1166
45,393216,BROADCAST,1.5911,0.17429999999999998
45,393216,SERIAL,1.6275,0.1056
45,786432,PARALLEL,1.7018,0.1083
45,786432,BROADCAST,1.8731000000000002,0.26630000000000004
45,786432,SERIAL,1.8582,0.10700000000000001
46,16384,PARALLEL,1.5162,0.1066
46,16384,BROADCAST,1.3504,0.10189999999999999
46,16384,SERIAL,1.3271,0.09219999999999998
46,393216,PARALLEL,1.5099999999999998,0.1016
46,393216,BROADCAST,1.5464,0.18430000000000002
46,393216,SERIAL,1.6934999999999998,0.1105
46,786432,PARALLEL,1.9817,0.20739999999999997
46,786432,BROADCAST,1.9027999999999998,0.28079999999999994
46,786432,SERIAL,1.8884000000000003,0.10400000000000001
47,16384,PARALLEL,1.3684,0.10289999999999999
47,16384,BROADCAST,1.3659999999999999,0.10879999999999998
47,16384,SERIAL,1.3542,0.1082
47,393216,PARALLEL,1.6717,0.1159
47,393216,BROADCAST,1.8075999999999997,0.19270000000000004
47,393216,SERIAL,1.5709000000000002,0.1129
47,786432,PARALLEL,1.689,0.1139
47,786432,BROADCAST,1.768,0.26580000000000004
47,786432,SERIAL,1.7907,0.1085
48,16384,PARALLEL,1.4647999999999999,0.09359999999999999
48,16384,BROADCAST,1.3346000000000002,0.09629999999999998
48,16384,SERIAL,1.3933,0.09829999999999998
48,393216,PARALLEL,1.6591999999999998,0.12969999999999998
48,393216,BROADCAST,1.6126999999999998,0.17759999999999998
48,393216,SERIAL,1.6085999999999998,0.11839999999999999
48,786432,PARALLEL,1.7920000000000005,0.12459999999999997
48,786432,BROADCAST,1.7363000000000004,0.2618
48,786432,SERIAL,1.8846000000000003,0.1136
49,16384,PARALLEL,1.3988,0.0923
49,16384,BROADCAST,1.4591999999999998,0.11669999999999998
49,16384,SERIAL,1.3851,0.09879999999999999
49,393216,PARALLEL,1.5909,0.12110000000000001
49,393216,BROADCAST,1.7123000000000002,0.1871
49,393216,SERIAL,1.8049,0.11240000000000001
49,786432,PARALLEL,1.8851000000000002,0.1302
49,786432,BROADCAST,1.8871000000000002,0.26210000000000006
49,786432,SERIAL,1.7828999999999997,0.11540000000000002
50,16384,PARALLEL,1.5121000000000002,0.10400000000000001
50,16384,BROADCAST,1.4814999999999998,0.1318
50,16384,SERIAL,1.4484000000000001,0.09859999999999998
50,393216,PARALLEL,1.8653000000000002,0.11149999999999997
50,393216,BROADCAST,1.8786,0.19340000000000002
50,393216,SERIAL,1.7414999999999998,0.1092
50,786432,PARALLEL,1.7724,0.1081
50,786432,BROADCAST,1.8060000000000003,0.2599
50,786432,SERIAL,2.0282,0.1189
51,16384,PARALLEL,1.4511999999999996,0.10629999999999999
51,16384,BROADCAST,1.4411999999999998,0.1079
51,16384,SERIAL,1.5143,0.10369999999999999
51,393216,PARALLEL,1.7769999999999997,0.09769999999999998
51,393216,BROADCAST,1.7391,0.17930000000000001
51,393216,SERIAL,1.6724,0.0978
51,786432,PARALLEL,2.0025000000000004,0.1137
51,786432,BROADCAST,2.0557,0.2691
51,786432,SERIAL,1.8893999999999997,0.10719999999999999
52,16384,PARALLEL,1.5417,0.11910000000000001
52,16384,BROADCAST,1.5484000000000002,0.1127
52,16384,SERIAL,1.5523000000000002,0.10800000000000001
52,393216,PARALLEL,1.7155,0.10429999999999999
52,393216,BROADCAST,2.1456,0.1972
52,393216,SERIAL,1.8015,0.1135
52,786432,PARALLEL,1.9624,0.123
52,786432,BROADCAST,1.8690000000000004,0.26130000000000003
52,786432,SERIAL,2.008,0.20729999999999998
53,16384,PARALLEL,1.5323999999999998,0.11189999999999997
53,16384,BROADCAST,1.5814,0.1437
53,16384,SERIAL,1.5334999999999999,0.1051
53,393216,PARALLEL,1.8326,0.12079999999999999
53,393216,BROADCAST,1.9070999999999998,0.18450000000000003
53,393216,SERIAL,1.8530000000000004,0.10779999999999998
53,786432,PARALLEL,1.9222000000000001,0.12210000000000001
53,786432,BROADCAST,1.9997999999999998,0.2604
53,786432,SERIAL,1.8893999999999997,0.11380000000000001
54,16384,PARALLEL,1.5741,0.12430000000000001
54,16384,BROADCAST,1.5875,0.1143
54,16384,SERIAL,1.6421,0.1081
54,393216,PARALLEL,1.8225000000000002,0.122
54,393216,BROADCAST,1.7556,0.193
54,393216,SERIAL,1.7746,0.10629999999999999
54,786432,PARALLEL,2.2399999999999998,0.1655
54,786432,BROADCAST,2.112,0.27030000000000004
54,786432,SERIAL,2.0574000000000003,0.11800000000000002
55,16384,PARALLEL,1.6177999999999997,0.12869999999999998
55,16384,BROADCAST,1.6517,0.1515
55,16384,SERIAL,1.6335000000000002,0.1095
55,393216,PARALLEL,1.8679000000000001,0.11299999999999999
55,393216,BROADCAST,1.8811,0.18760000000000002
55,393216,SERIAL,1.7805999999999997,0.1113
55,786432,PARALLEL,2.1234,0.12630000000000002
55,786432,BROADCAST,1.9934,0.2753
55,786432,SERIAL,2.0202999999999998,0.1213
56,16384,PARALLEL,1.6641000000000001,0.11539999999999999
56,16384,BROADCAST,1.6059,0.11850000000000001
56,16384,SERIAL,1.6357000000000004,0.1196
56,393216,PARALLEL,1.8726000000000003,0.12789999999999999
56,393216,BROADCAST,1.9339999999999997,0.1983
56,393216,SERIAL,1.8362000000000003,0.11610000000000001
56,786432,PARALLEL,2.2755,0.13620000000000002
56,786432,BROADCAST,1.9990999999999999,0.28169999999999995
56,786432,SERIAL,2.0737,0.10869999999999999
57,16384,PARALLEL,1.7079999999999997,0.11340000000000001
57,16384,BROADCAST,1.6199000000000001,0.1346
57,16384,SERIAL,1.6524,0.1011
57,393216,PARALLEL,1.9500000000000004,0.1367
57,393216,BROADCAST,1.8610999999999998,0.1913
57,393216,SERIAL,2.0424,0.1111
57,786432,PARALLEL,1.9737000000000002,0.1153
57,786432,BROADCAST,1.9919,0.2686
57,786432,SERIAL,2.025,0.1217
58,16384,PARALLEL,1.6841000000000002,0.13169999999999998
58,16384,BROADCAST,1.6601,0.1366
58,16384,SERIAL,1.7187000000000001,0.1137
58,393216,PARALLEL,1.9597000000000002,0.11439999999999999
58,393216,BROADCAST,1.9368999999999996,0.2933
58,393216,SERIAL,1.8840000000000003,0.11910000000000003
58,786432,PARALLEL,2.2188000000000003,0.1331
58,786432,BROADCAST,2.2004,0.3567
58,786432,SERIAL,2.0711,0.11189999999999997
59,16384,PARALLEL,1.7603000000000002,0.1162
59,16384,BROADCAST,1.7191999999999996,0.11789999999999998
59,16384,SERIAL,1.7282,0.1153
59,393216,PARALLEL,2.0174,0.1478
59,393216,BROADCAST,2.0316,0.19149999999999998
59,393216,SERIAL,1.9689,0.12250000000000001
59,786432,PARALLEL,2.0870000000000006,0.1351
59,786432,BROADCAST,2.0331,0.2653
59,786432,SERIAL,2.187,0.1196
60,16384,PARALLEL,1.8765999999999998,0.1375
60,16384,BROADCAST,1.7053,0.1395
60,16384,SERIAL,1.7231,0.1048
60,393216,PARALLEL,1.9453,0.14010000000000003
60,393216,BROADCAST,1.8897000000000002,0.1958
60,393216,SERIAL,2.0003,0.11479999999999999
